Accessyou,@messaging.accessyou.com
Aio Wireless,@mms.aiowireless.net
AirCel,@aircel.co.in
AirFire Mobile,@sms.airfiremobile.com
Airtel,@airtelap.com
Alaska Communications,@msg.acsalaska.com
Aliant Canada,@sms.wirefree.informe.ca
Alltel (Allied Wireless),@mms.alltelwireless.com
Ameritech,@paging.acswireless.com
Andhra Pradesh AirTel,@airtelap.com
Andhra Pradesh Idea,@ideacellular.net
Assurance Wireless,@vmobl.com
AT&T Enterprise Paging,@page.att.net
AT&T Mobility,@mms.att.net
AT&T Wireless,@txt.att.net
Beeline,@sms.beemail.ru
Bell Mobility,@txt.bell.ca
Bell MTS,@text.mts.net
BellSouth,@bellsouth.cl
Bluegrass Cellular,@sms.bluecell.com
Bluesky Communications,@psms.bluesky.as
Boost Mobile,@myboostmobile.com
Bouygues Telecom,@mms.bouyguestelecom.fr
Box Internet Services,@mms.boxis.net
C Spire,@cspire1.com
C Spire Wireless,@cspire1.com
CellCom,@cellcom.quiktxt.com
Cellular South,@csouth1.com
Centennial Wireless,@cwemail.com
Chariton Valley Wireless,@sms.cvalley.net
Chat Mobility,@mail.msgsender.com
Chatr,@ pcs.rogers.com
Chennai RPG Cellular,@rpgmail.net
Chennai Skycell / Airtel,@airtelchennai.com
China Mobile,@139.com
Cincinnati Bell,@mms.gocbw.com
Claro,@iclaro.com.co
Cleartalk,@sms.cleartalk.us
Consumer Cellular (AT&T),@mms.att.net
Consumer Cellular (T-Mobile),@mailmymobile.net
Cricket,@mms.cricketwireless.net
CSL,@mgw.mmsc1.hkcsl.com
CTI Móvil (Now Claro),@sms.ctimovil.com.ar
Delhi Airtel,@airtelmail.com
Digicel,@digitextdm.com
Digicel St. Lucia,@digitextlc.com
DTC,@sms.advantagecell.net
E-Plus,@smsmail.eplus.de
Eastlink Canada,@mms.eastlink.ca
Edge Wireless,@sms.edgewireless.com
Element Mobile,@SMS.elementmobile.net
Emtel,@emtelworld.net
Esendex,@esendex.net
Fido,@sms.fido.ca
Firmensms,@subdomain.firmensms.at
Freebie SMS,@smssturen.com
Freedom Mobile,@txt.freedommobile.ca
FreeUP Mobile,@txt.att.net
GCI,@mobile.gci.net
General Communications Inc.,@mobile.gci.net
Globalstar,@msg.globalstarusa.com
Globul,@sms.globul.bg
Goa Airtel,@airtelmail.com
Goa Idea Cellular,@ideacellular.net
Golden State Cellular,@gscsms.com
Good2Go Mobile,@txt.att.net
Google Fi,@msg.fi.google.com
Google Voice,Not an actual carrier
Greatcall,@vtxt.com
Gujarat Airtel,@airtelmail.com
Gujarat Celforce / Fascel,@celforce.com
Gujarat Idea Cellular,@ideacellular.net
Guyana T&T,@sms.cellinkgy.com
H2O Wireless,@txt.att.net
Haryana Airtel,@airtelmail.com
Haryana Escotel,@escotelmobile.com
Hawaiian Telcom,@hawaii.sprintpcs.com
Helio,@myhelio.com
Himachai Pradesh Airtel,@airtelmail.com
HSL Mobile,@sms.haysystems.com
I-wireless(Sprint PCS),@iwirelesshometext.com
I-wireless(T-Mobile),@number.iwsiwspcs.net
ICE,@sms.ice.cr
Illinois Valley Cellular,@ivctext.com
Kajeet,@mobile.kajeet.net
Karnataka Airtel,@airtelkk.com
Kerala Airtel,@airtelkerala.com
Kerala Escotel,@escotelmobile.com
Kolkata Airtel,@airtelkol.com
Koodo Mobile,@msg.telus.com
LongLines,@text.longlines.com
Lynx Mobility,@sms.lynxmobility.com
M1,@m1.com.sg
Madhya Pradesh Airtel,@airtelmail.com
Maharashtra Airtel,@airtelmail.com
Maharashtra Idea,@ideacellular.net
Más Móvil,@cwmovil.com
Mediaburst,@sms.mediaburst.co.uk
Metro PCS,@mymetropcs.com
MetroPCS,@mymetropcs.com
Mint Mobile,@tmomail.net
Mobiltel,@sms.mtel.net
Mobitel,@sms.mobitel.lk
Movistar,@0movistar.net
MTN,@sms.co.za
MTS Mobility,@text.mtsmobility.com
Mumbai Airtel,@airtelmail.com
My-Cool-SMS,@my-cool-sms.com
NET10,@Determine NET10's carrier
New Cingular Wireless,Not an actual carrier
Nex-Tech,@sms.nextechwireless.com
Nextech,@sms.ntwls.net
Nextel,@msgnextel.com.mx
O2,@o2online.de
OgVodafone,@sms.is
Orange,@orange.net
Page Plus,@vtext.com
Page Plus Cellular (Verizon),@vzwpix.com
PC Mobile,@mobiletxt.ca
PC Telecom,@mobiletxt.ca
Personal,@alertas.personal.com.ar
Pioneer Cellular,@zsend.com
Plus,@text.plusgsm.pl
Pocket Wireless,@sms.pocket.com
Polkomtel,@text.plusgsm.pl
Pure TalkUSA,@txt.att.net
Qwest Wireless,@qwestmp.com
Red Pocket Mobile,@vtext.com
Republic Wireless,@text.republicwireless.com
Rogers Wireless,@pcs.rogers.com
SaskTel,@sms.sasktel.com
Sendega,@sendega.com
Setar Mobile email (Aruba),@mas.aw
SFR,@sfr.fr
Síminn,@box.is
Simple Mobile,@smtext.com
SMS Broadcast,@send.smsbroadcast.com.au
SMS Central,@sms.smscentral.com.au
SMSPUP,@smspup.com
Solo Mobile,@txt.bell.ca
